ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
ruleEnginePage.marketing.metReach	"リーチ"
ruleEnginePage.marketing.metClicks	"クリック"
ruleEnginePage.marketing.metConv	"コンバージョン"
ruleEnginePage.marketing.strictDateFilter	"📅 キャンペーン期間フィルター"
ruleEnginePage.marketing.strictDateDesc	"リアルタイムデータを即座に取得"
ruleEnginePage.marketing.pageTitle	"マーケティング＆広告成果"
ruleEnginePage.marketing.colStatus	"ステータス"
ruleEnginePage.marketing.budgetTrackTitle	"予算管理ダッシュボード"
ruleEnginePage.marketing.budgetTrackSub	"リアルタイム予算管理"
ruleEnginePage.marketing.bgCategoryAlloc	"カテゴリ配分"
ruleEnginePage.marketing.catPerformance	"パフォーマンス"
ruleEnginePage.marketing.catBrand	"ブランド"
ruleEnginePage.marketing.catRetargeting	"リターゲティング"
ruleEnginePage.marketing.catInfluencer	"インフルエンサー"
ruleEnginePage.marketing.bgKpiTopChan	"Topチャネル"
ruleEnginePage.marketing.noData	"データなし"
ruleEnginePage.marketing.bgTableCampaign	"キャンペーン成果"
ruleEnginePage.marketing.bgColCampSum	"キャンペーン"
ruleEnginePage.marketing.bgTabPacing	"チャネル配分"
ruleEnginePage.marketing.bgTabCampaigns	"キャンペーン予算"
ruleEnginePage.marketing.bgSecurityStatus	"セキュリティ"
ruleEnginePage.marketing.bgPacingChart	"チャネル別配分vs支出"
ruleEnginePage.marketing.bgPacingTableTitle	"詳細ペーシング"
ruleEnginePage.marketing.bgPacingColChannel	"チャネル"
ruleEnginePage.marketing.bgPnlMarginSummary	"マージン&ROAS"
ruleEnginePage.marketing.bgPnlMargin	"営業マージン"
ruleEnginePage.marketing.autoTitle	"🚀 マーケティング自動化プラットフォーム"
ruleEnginePage.marketing.autoSub	"月予算を設定すると、AIがTikTok・Meta・Naverなどに最適化されたマーケティング戦略を自動で策定します"
ruleEnginePage.marketing.tabSetup	"⚙ キャンペーン設定"
ruleEnginePage.marketing.tabPreview	"🔮 AI戦略プレビュー"
ruleEnginePage.marketing.tabCampaignMgmt	"📋 キャンペーン管理"
ruleEnginePage.marketing.budgetSetup	"💰 月間マーケティング予算設定"
ruleEnginePage.marketing.directInput	"直接入力（ウォン）"
ruleEnginePage.marketing.campaignPeriod	"キャンペーン期間"
ruleEnginePage.marketing.monthly	"月間（1ヶ月）"
ruleEnginePage.marketing.quarterly	"四半期（3ヶ月）"
ruleEnginePage.marketing.halfyear	"半期（6ヶ月）"
ruleEnginePage.marketing.categorySelect	"🏷 販売商品カテゴリ選択（複数選択可）"
ruleEnginePage.marketing.channelSelect	"📡 広告チャネル選択"
ruleEnginePage.marketing.salesChannels	"🌐 連携済み販売チャネル"
ruleEnginePage.marketing.salesChannelSub	"有効化されたチャネルにマーケティング成果データが連携されます。"
ruleEnginePage.marketing.active	"● アクティブ"
ruleEnginePage.marketing.inactive	"○ 非アクティブ"
ruleEnginePage.marketing.connStatusOk	"連動済み"
ruleEnginePage.marketing.connStatusNeed	"APIキーが必要"
ruleEnginePage.marketing.connClickToSetup	"クリックして連動ハブでAPIキーを設定してください"
ruleEnginePage.marketing.connSalesHint	"APIキーが未連動のチャネルがあります。連動ハブでAPIキーを登録すると自動的に有効化されます。"
ruleEnginePage.marketing.goIntegrationHub	"連動ハブへ移動"
ruleEnginePage.marketing.campaignDetail2	"📝 キャンペーン詳細（任意）"
ruleEnginePage.marketing.campaignNameLabel	"キャンペーン名（未入力時は自動生成）"
ruleEnginePage.marketing.campaignNamePh	"例：2024年春ビューティーキャンペーン"
ruleEnginePage.marketing.targetLabel	"ターゲット顧客（任意）"
ruleEnginePage.marketing.targetPh	"例：20〜35歳女性、ビューティー・ファッション関心"
ruleEnginePage.marketing.generateBtn	"🚀 AIマーケティング戦略を自動生成"
ruleEnginePage.marketing.generating	"🤖 AIがマーケティング戦略を生成中…"
ruleEnginePage.marketing.needCatChannel	"⚠ カテゴリと広告チャネルの選択が必要です。"
ruleEnginePage.marketing.previewEmpty	"← まずキャンペーン設定でAI戦略を生成してください。"
ruleEnginePage.marketing.goSetup	"設定へ移動 →"
ruleEnginePage.marketing.kpiTotal	"全レビュー"
ruleEnginePage.marketing.kpiImpressions	"予想インプレッション"
ruleEnginePage.marketing.kpiClicks	"予想クリック数"
ruleEnginePage.marketing.kpiConversions	"予想コンバージョン数"
ruleEnginePage.marketing.channelAlloc	"🤖 AIチャネル別予算配分戦略"
ruleEnginePage.marketing.impressions	"インプレッション"
ruleEnginePage.marketing.clicks	"クリック"
ruleEnginePage.marketing.conversions	"コンバージョン"
ruleEnginePage.marketing.approvalTitle	"✅ 承認リクエスト"
ruleEnginePage.marketing.approvalSub	"上記の戦略をレビューし承認すると、登録された広告チャネルを通じてマーケティングが自動展開されます。"
ruleEnginePage.marketing.submitApproval	"📋 承認リクエスト提出"
ruleEnginePage.marketing.resetBtn	"↩ 最初から"
ruleEnginePage.marketing.noCampaign	"キャンペーンがありません。まずマーケティング戦略を生成してください。"
ruleEnginePage.marketing.createCampaign	"+ マーケティングキャンペーン作成"
ruleEnginePage.marketing.addCampaign	"+ 新規キャンペーン作成"
ruleEnginePage.marketing.created	"作成済み"
ruleEnginePage.marketing.approved	"✅ 承認済み"
ruleEnginePage.marketing.activate	"🚀 キャンペーン有効化"
ruleEnginePage.marketing.estConv	"予想総コンバージョン"
ruleEnginePage.marketing.goCampaignMgr	"🎯 キャンペーン管理 →"
ruleEnginePage.marketing.goHelp	"📚 ヘルプ"
ruleEnginePage.marketing.selected	"✓ 選択済み"
ruleEnginePage.marketing.cat_beauty	"ビューティー・コスメ"
ruleEnginePage.marketing.cat_fashion	"ファッション・アパレル"
ruleEnginePage.marketing.cat_general	"生活・雑貨"
ruleEnginePage.marketing.cat_food	"食品・健康"
ruleEnginePage.marketing.cat_electronics	"電子機器・IT"
ruleEnginePage.marketing.cat_sports	"スポーツ・レジャー"
ruleEnginePage.marketing.cat_travel	"旅行・宿泊"
ruleEnginePage.marketing.cat_digital	"デジタル・アプリ"
ruleEnginePage.marketing.tag_skincare	"スキンケア"
ruleEnginePage.marketing.tag_makeup	"メイクアップ"
ruleEnginePage.marketing.tag_haircare	"ヘアケア"
ruleEnginePage.marketing.tag_womens	"レディース"
ruleEnginePage.marketing.tag_mens	"メンズ"
ruleEnginePage.marketing.tag_outer	"アウター"
ruleEnginePage.marketing.tag_accessories	"アクセサリー"
ruleEnginePage.marketing.tag_kitchen	"キッチン"
ruleEnginePage.marketing.tag_interior	"インテリア"
ruleEnginePage.marketing.tag_organic	"オーガニック"
ruleEnginePage.marketing.tag_phone_acc	"スマホアクセサリー"
ruleEnginePage.marketing.tag_computer	"パソコン"
ruleEnginePage.marketing.tag_fitness	"フィットネス"
ruleEnginePage.marketing.tag_outdoor	"アウトドア"
ruleEnginePage.marketing.tag_sportswear	"スポーツウェア"
ruleEnginePage.marketing.tag_hotel	"ホテル"
ruleEnginePage.marketing.tag_tour	"ツアー"
ruleEnginePage.marketing.tag_leisure	"レジャー"
ruleEnginePage.marketing.tag_app	"モバイルアプリ"
ruleEnginePage.marketing.tag_content	"デジタルコンテンツ"
ruleEnginePage.marketing.tag_subscription	"サブスクリプション"
ruleEnginePage.marketing.ch_meta	"Meta（Facebook・Instagram）"
ruleEnginePage.marketing.ch_instagram	"Instagramショッピング"
ruleEnginePage.marketing.sc_naver_smart	"Naverスマートストア"
ruleEnginePage.marketing.sc_kakao_shop	"カカオショッピング"
ruleEnginePage.marketing.pendingBadge	"⏳ 承認待ち"
ruleEnginePage.marketing.aiHubTitle	"AIマーケティングハブを先に確認"
ruleEnginePage.marketing.aiHubDesc1	"在庫、注文、CRM、決済データを自動分析し、"
ruleEnginePage.marketing.aiHubDesc2	"ROI基盤の即時実行可能な推奨"
ruleEnginePage.marketing.aiHubDesc3	"を提供します。"
ruleEnginePage.marketing.aiHubDesc4	"直接戦略を設計するには、以下の設定を進めてください。"
ruleEnginePage.marketing.aiHubBtn	"AIマーケティングハブ"
ruleEnginePage.marketing.creativeAutoSync	"AI広告素材カテゴリ → キャンペーン設定自動連携"
ruleEnginePage.marketing.creativeSyncDesc1	"カテゴリを選択し、"
ruleEnginePage.marketing.creativeSyncBtn	"キャンペーン設定へ移動"
ruleEnginePage.marketing.creativeSyncDesc2	"ボタンをクリックすると選択したカテゴリが"
ruleEnginePage.marketing.creativeSyncDesc4	"されます。"
ruleEnginePage.marketing.creativeGoSetup	"キャンペーン設定へ移動"
ruleEnginePage.marketing.aiRecommendBadge	"AI推奨チャネル自動選択 · 変更可能"
ruleEnginePage.marketing.cat_platform	"プラットフォーム・SaaS"
ruleEnginePage.marketing.alertNewApproval	"新規マーケティングキャンペーンの承認リクエストが提出されました。"
ruleEnginePage.marketing.alertSelectCatCh	"カテゴリと広告チャネルを1つ以上選択してください。"
ruleEnginePage.marketing.alertSimulateError	"AI戦略シミュレーションに失敗しました。もう一度お試しください。"
ruleEnginePage.marketing.approvalSubtitle	"マーケティング戦略のレビューと承認"
ruleEnginePage.marketing.approvalWarning1	"⚠ 承認後、選択したチャネルで広告が自動実行されます。慎重にご確認ください。"
ruleEnginePage.marketing.approvalWarning2	"📊 承認後、キャンペーンマネージャーでリアルタイム成果を確認できます。"
ruleEnginePage.marketing.defaultCampSuffix	"キャンペーン"
ruleEnginePage.marketing.reason1	"📈 過去のキャンペーンデータに基づく最適化"
ruleEnginePage.marketing.reason2	"🎯 ターゲット層に基づくカスタマイズチャネル選択"
ruleEnginePage.marketing.reason3	"💰 最大ROIのためのAI予算最適配分"
ruleEnginePage.marketing.reason4	"⏱ 最適なキャンペーンスケジュール選定"
ruleEnginePage.marketing.reason5	"🧠 AI推奨クリエイティブ方向性"
ruleEnginePage.marketing.tier1	"🏆 プレミアム（3億ウォン以上）"
ruleEnginePage.marketing.tier2	"🥇 エンタープライズ（5千万ウォン以上）"
ruleEnginePage.marketing.tier3	"🥈 グロース（1千万ウォン以上）"
ruleEnginePage.marketing.tier4	"🥉 スターター（3百万ウォン以上）"
ruleEnginePage.marketing.tier5	"📦 フリー"
ruleEnginePage.marketing.guideStartBtn	"今すぐ開始"
ruleEnginePage.marketing.guideTabsTitle	"タブ別ガイド"
ruleEnginePage.marketing.guideTabSetupName	"キャンペーン設定"
ruleEnginePage.marketing.guideTabSetupDesc	"予算、カテゴリ、広告チャネルを設定しAI推薦を受けます。"
ruleEnginePage.marketing.guideTabPreviewName	"シミュレーション結果"
ruleEnginePage.marketing.guideTabPreviewDesc	"チャネル別予算配分と予想指標をプレビューします。"
ruleEnginePage.marketing.tabCompare	"キャンペーン比較"
ruleEnginePage.marketing.connectedChannels	"連携チャネル"
ruleEnginePage.marketing.noConnectedChannels	"連携ハブでAPIキーを登録してください"
ruleEnginePage.marketing.noCreativeData	"クリエイティブデータなし"
ruleEnginePage.marketing.noCreativeDesc	"AIオートマーケティングでキャンペーンを作成してください"
ruleEnginePage.marketing.creativePerformance	"素材別クリック・CV分析"
ruleEnginePage.marketing.creativeTable	"素材別成果テーブル"
ruleEnginePage.marketing.colCreativeName	"素材/キャンペーン名"
ruleEnginePage.marketing.selectCampaigns	"キャンペーン選択(最大4)"
ruleEnginePage.marketing.selectCampaignsDesc	"2つ以上選択して比較"
ruleEnginePage.marketing.noCampaigns	"キャンペーンがありません"
ruleEnginePage.marketing.radarCompare	"レーダー比較"
ruleEnginePage.marketing.selectAtLeast2	"2つ以上選択してください"
ruleEnginePage.marketing.guideTabStatusDesc	"キャンペーン/広告セット分析"
ruleEnginePage.marketing.guideTabCompareDesc	"レーダーチャートとKPI比較"
ruleEnginePage.marketing.bgTabGuide	"ガイド"
ruleEnginePage.marketing.bgForecastChart	"消化予測チャート"
ruleEnginePage.marketing.bgForecastBudgetLine	"予算ライン"
ruleEnginePage.marketing.bgForecastUnder	"現在のペースでは月末まで予算内です。"
ruleEnginePage.marketing.bgForecastOver	"予算超過が予測されます。再配分を検討してください。"
ruleEnginePage.marketing.bgGuideTitle	"予算管理ガイド"
ruleEnginePage.marketing.bgGuideSub	"予算管理のすべてをご案内します"
ruleEnginePage.marketing.bgGuideStepsTitle	"管理6ステップ"
ruleEnginePage.marketing.bgGuideStep1Desc	"概要タブのKPIカードで総配分予算、実際の支出、残高を一目で確認します。バーンレートのドーナツチャートとカテゴリ配分でリアルタイムに予算の健全性を評価します。"
ruleEnginePage.marketing.bgGuideStep2Desc	"ドーナツチャートで現在の予算消化率を監視します。70%以上でオレンジ、90%以上で赤の警告が表示されます。トップチャネルの支出ランキングを確認します。"
ruleEnginePage.marketing.bgGuideStep3Title	"チャネル配分"
ruleEnginePage.marketing.bgGuideStep3Desc	"チャネルペーシングタブで各広告チャネルの配分予算vs実際支出を追跡します。ON TRACK/OVERSPEND/UNDERSPEND状態でリアルタイム監視します。"
ruleEnginePage.marketing.bgGuideStep4Title	"キャンペーン分析"
ruleEnginePage.marketing.bgGuideStep4Desc	"キャンペーンタブで個別キャンペーンのインプレッション、CTR、予算、支出、利益、CPC、CPA、ROIを詳細分析します。"
