keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.aiEngine,AI 엔진,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,0,skip
pages.marketingIntel.aiEngineDesc,AI 엔진 안내,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,0,skip
pages.marketingIntel.aiPredict.Sim,시뮬레이션,PASS,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,14,translate
pages.marketingIntel.aiPredict.adPerf.channel,채널,PASS,Channel,P4,チャネル,PASS,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,13,translate
pages.marketingIntel.aiPredict.adPerf.clicks,클릭 수,PASS,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,Clicks,P4,14,translate
pages.marketingIntel.aiPredict.adPerf.conversions,전환,PASS,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,คอนเวอร์ชัน,PASS,Conversions,P4,13,translate
pages.marketingIntel.aiPredict.adPerf.cpa,고객 획득 비용 (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,0,skip
pages.marketingIntel.aiPredict.adPerf.date,날짜 (기간),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,0,skip
pages.marketingIntel.aiPredict.adPerf.impressions,총 노출,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,0,skip
pages.marketingIntel.aiPredict.adPerf.loading,불러오는 중...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,0,skip
pages.marketingIntel.aiPredict.adPerf.roas,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,ROAS,P4,15,translate
pages.marketingIntel.aiPredict.adPerf.spend,광고비,PASS,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,Spend,P4,14,translate
pages.marketingIntel.aiPredict.adPerf.team,팀별 보기,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,0,skip
pages.marketingIntel.aiPredict.adPerf.title,이메일 마케팅,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,0,skip
pages.marketingIntel.aiPredict.banner.Simulation,시뮬레이션,PASS,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,14,translate
pages.marketingIntel.aiPredict.banner.abGroupA,A 그룹,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,0,skip
pages.marketingIntel.aiPredict.banner.abGroupB,B 그룹,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,0,skip
pages.marketingIntel.aiPredict.banner.backToList,목록으로 돌아가기,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,0,skip
pages.marketingIntel.aiPredict.banner.clickToEdit,클릭하여 편집,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionEmailClicked,이메일 클릭 조건,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionEmailOpened,이메일 열람 조건,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionField,조건 필드,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionKakaoClicked,카카오 클릭 조건,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionLineClicked,LINE 클릭,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionLtvGt,LTV 초과 조건,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,0,skip
pages.marketingIntel.aiPredict.banner.conditionPurchased,구매,PASS,Condition Purchased,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Condition Purchased,PASS,Condition Purchased,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Condition Purchased,PASS,0,skip
pages.marketingIntel.aiPredict.banner.crmChurn,CRM 이탈,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,0,skip
pages.marketingIntel.aiPredict.banner.crmJourney,CRM 여정,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,0,skip
pages.marketingIntel.aiPredict.banner.crmJourneyAction,CRM 여정 액션,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,0,skip
pages.marketingIntel.aiPredict.banner.crmVip,CRM VIP,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,0,skip
pages.marketingIntel.aiPredict.banner.days,일,P5,days,P4, days,P4, days,P4, days,P4,days,P4,days,P4, days,P4, days,P4, days,P4, days,P4, days,P4, days,P4, days,P4,??,PASS,14,translate
pages.marketingIntel.aiPredict.banner.delayTime,지연 시간,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,0,skip
pages.marketingIntel.aiPredict.banner.delayUnit,단위,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,0,skip
pages.marketingIntel.aiPredict.banner.deleteNode,노드 삭제,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailFrom,발신자,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailSendSim,이메일 발송 시뮬레이션,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailSenderPh,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailSimulate,이메일 시뮬레이션,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailSubject,이메일 제목,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailSubjectPh,이메일 제목 입력,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,0,skip
pages.marketingIntel.aiPredict.banner.emailTestSend,이메일 테스트 발송,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,0,skip
pages.marketingIntel.aiPredict.banner.execLog,자동 실행 로그,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,0,skip
pages.marketingIntel.aiPredict.banner.hours,시간,PASS,Hours,P4,Time,PASS,Time,PASS,Time,PASS,Hours,P4,Hours,P4,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Hours,P4,4,translate
pages.marketingIntel.aiPredict.banner.kakaoAlimtalk,카카오 알림톡,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,0,skip
pages.marketingIntel.aiPredict.banner.kakaoFriendtalk,카카오 친구톡,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,0,skip
pages.marketingIntel.aiPredict.banner.kakaoMsgType,카카오 메시지 유형,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,0,skip
pages.marketingIntel.aiPredict.banner.kakaoSendSim,카카오 발송 시뮬레이션,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,0,skip
pages.marketingIntel.aiPredict.banner.kakaoTemplate,카카오 템플릿,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,0,skip
pages.marketingIntel.aiPredict.banner.kakaoTest,카카오 테스트,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,0,skip
pages.marketingIntel.aiPredict.banner.lineMsgType,LINE 메시지 유형,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,0,skip
pages.marketingIntel.aiPredict.banner.lineSendSim,LINE 발송 시뮬레이션,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,0,skip
pages.marketingIntel.aiPredict.banner.lineSimulate,LINE 시뮬레이션,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,0,skip
pages.marketingIntel.aiPredict.banner.lineTemplate,LINE 템플릿,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,0,skip
pages.marketingIntel.aiPredict.banner.lineTestSend,LINE 테스트 발송,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,0,skip
pages.marketingIntel.aiPredict.banner.minutes,분,P5,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,遺?,PASS,14,translate
pages.marketingIntel.aiPredict.banner.mktBudgetAction,마케팅 예산 액션,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,0,skip
pages.marketingIntel.aiPredict.banner.mktHighRoas,고 ROAS 마케팅,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,0,skip
pages.marketingIntel.aiPredict.banner.mktHighRoasSub,고 ROAS 마케팅 안내,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,0,skip
pages.marketingIntel.aiPredict.banner.mktHubAction,마케팅 허브 액션,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,0,skip
pages.marketingIntel.aiPredict.banner.mktLowRoas,저 ROAS 마케팅,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,0,skip
pages.marketingIntel.aiPredict.banner.mktOptimizeNow,지금 마케팅 최적화,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,Mkt Optimize Now,PASS,0,skip
pages.marketingIntel.aiPredict.banner.mktRulesActive,활성 마케팅 규칙,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,Mkt Rules Active,PASS,0,skip
pages.marketingIntel.aiPredict.banner.nodeConfig,노드 설정,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,Node Config,PASS,0,skip
pages.marketingIntel.aiPredict.banner.nodeName,노드명,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,Node Name,PASS,0,skip
pages.marketingIntel.aiPredict.banner.ordersAiRun,주문 AI 실행,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,Orders Ai Run,PASS,0,skip
pages.marketingIntel.aiPredict.banner.ordersAiSub,주문 AI 안내,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,Orders Ai Sub,PASS,0,skip
