keypath,pattern,action,ko_pass,n_locales_pass,n_locales_placeholder,n_locales_missing,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class
pages.marketingIntel.admin.timezone,PAT_X,translate,0,0,15,0,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4,Timezone,P4
pages.marketingIntel.admin.title,PAT_D,skip,0,1,0,14,,MISSING,,MISSING,,MISSING,,MISSING,ガバナンス,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING
pages.marketingIntel.admin.twoFactor,PAT_X,skip,1,15,0,0,2단계 인증,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS,Two Factor,PASS
pages.marketingIntel.admin.warning,PAT_B,translate,1,11,4,0,경고,PASS,Warning,P4,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warning,P4,Warning,P4,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warnings,PASS,Warning,P4
pages.marketingIntel.admin.workspaceName,PAT_X,skip,1,15,0,0,워크스페이스명,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS,Workspace Name,PASS
pages.marketingIntel.admin.workspacePlan,PAT_X,skip,1,15,0,0,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS,Plan,PASS
pages.marketingIntel.aiEngine,PAT_X,skip,1,15,0,0,AI 엔진,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS,Ai Engine,PASS
pages.marketingIntel.aiEngineDesc,PAT_X,skip,1,15,0,0,AI 엔진 안내,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS,Ai Engine Desc,PASS
pages.marketingIntel.aiPredict.Sim,PAT_B,translate,1,1,14,0,시뮬레이션,PASS,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4,Sim,P4
pages.marketingIntel.aiPredict.adPerf.channel,PAT_B,translate,1,2,13,0,채널,PASS,Channel,P4,チャネル,PASS,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4,Channel,P4
pages.marketingIntel.aiPredict.adPerf.clicks,PAT_X,skip,1,15,0,0,클릭 수,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS,Clicks,PASS
pages.marketingIntel.aiPredict.adPerf.conversions,PAT_B,translate,1,2,13,0,전환,PASS,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,Conversions,P4,คอนเวอร์ชัน,PASS,Conversions,P4
pages.marketingIntel.aiPredict.adPerf.cpa,PAT_X,skip,1,15,0,0,고객 획득 비용 (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS,Cost Per Acquisition (CPA),PASS
pages.marketingIntel.aiPredict.adPerf.date,PAT_X,skip,1,15,0,0,날짜 (기간),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS,Date (Period),PASS
pages.marketingIntel.aiPredict.adPerf.impressions,PAT_X,skip,1,15,0,0,총 노출,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS,Total Impressions,PASS
pages.marketingIntel.aiPredict.adPerf.loading,PAT_X,skip,1,15,0,0,불러오는 중...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS,Loading...,PASS
pages.marketingIntel.aiPredict.adPerf.roas,PAT_X,skip,1,15,0,0,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS,ROAS,PASS
pages.marketingIntel.aiPredict.adPerf.spend,PAT_X,skip,1,15,0,0,광고비,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS,Spend,PASS
pages.marketingIntel.aiPredict.adPerf.team,PAT_X,skip,1,15,0,0,팀별 보기,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS,View by Team,PASS
pages.marketingIntel.aiPredict.adPerf.title,PAT_X,skip,1,15,0,0,이메일 마케팅,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS,Email Marketing,PASS
pages.marketingIntel.aiPredict.banner.Simulation,PAT_B,translate,1,1,14,0,시뮬레이션,PASS,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4,Simulation,P4
pages.marketingIntel.aiPredict.banner.abGroupA,PAT_X,skip,1,15,0,0,A 그룹,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS,Ab Group A,PASS
pages.marketingIntel.aiPredict.banner.abGroupB,PAT_X,skip,1,15,0,0,B 그룹,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS,Ab Group B,PASS
pages.marketingIntel.aiPredict.banner.backToList,PAT_X,skip,1,15,0,0,목록으로 돌아가기,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS,Back To List,PASS
pages.marketingIntel.aiPredict.banner.clickToEdit,PAT_X,skip,1,15,0,0,클릭하여 편집,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS,Click To Edit,PASS
pages.marketingIntel.aiPredict.banner.conditionEmailClicked,PAT_X,skip,1,15,0,0,이메일 클릭 조건,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS,Condition Email Clicked,PASS
pages.marketingIntel.aiPredict.banner.conditionEmailOpened,PAT_X,skip,1,15,0,0,이메일 열람 조건,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS,Condition Email Opened,PASS
pages.marketingIntel.aiPredict.banner.conditionField,PAT_X,skip,1,15,0,0,조건 필드,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS,Condition Field,PASS
pages.marketingIntel.aiPredict.banner.conditionKakaoClicked,PAT_X,skip,1,15,0,0,카카오 클릭 조건,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS,Condition Kakao Clicked,PASS
pages.marketingIntel.aiPredict.banner.conditionLineClicked,PAT_X,skip,1,15,0,0,LINE 클릭,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS,LINE Clicks,PASS
pages.marketingIntel.aiPredict.banner.conditionLtvGt,PAT_X,skip,1,15,0,0,LTV 초과 조건,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS,Condition Ltv Gt,PASS
pages.marketingIntel.aiPredict.banner.conditionPurchased,PAT_X,skip,1,15,0,0,구매,PASS,Condition Purchased,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Condition Purchased,PASS,Condition Purchased,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Purchase,PASS,Condition Purchased,PASS
pages.marketingIntel.aiPredict.banner.crmChurn,PAT_X,skip,1,15,0,0,CRM 이탈,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS,Crm Churn,PASS
pages.marketingIntel.aiPredict.banner.crmJourney,PAT_X,skip,1,15,0,0,CRM 여정,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS,Crm Journey,PASS
pages.marketingIntel.aiPredict.banner.crmJourneyAction,PAT_X,skip,1,15,0,0,CRM 여정 액션,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS,Crm Journey Action,PASS
pages.marketingIntel.aiPredict.banner.crmVip,PAT_X,skip,1,15,0,0,CRM VIP,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS,Crm Vip,PASS
pages.marketingIntel.aiPredict.banner.days,PAT_X,translate,0,1,14,0,일,P5,days,P4, days,P4, days,P4, days,P4,days,P4,days,P4, days,P4, days,P4, days,P4, days,P4, days,P4, days,P4, days,P4,??,PASS
pages.marketingIntel.aiPredict.banner.delayTime,PAT_X,skip,1,15,0,0,지연 시간,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS,Delay Time,PASS
pages.marketingIntel.aiPredict.banner.delayUnit,PAT_X,skip,1,15,0,0,단위,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS,Unit,PASS
pages.marketingIntel.aiPredict.banner.deleteNode,PAT_X,skip,1,15,0,0,노드 삭제,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS,Delete Node,PASS
pages.marketingIntel.aiPredict.banner.emailFrom,PAT_X,skip,1,15,0,0,발신자,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS,Email From,PASS
pages.marketingIntel.aiPredict.banner.emailSendSim,PAT_X,skip,1,15,0,0,이메일 발송 시뮬레이션,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS,Email Send Sim,PASS
pages.marketingIntel.aiPredict.banner.emailSenderPh,PAT_X,skip,1,15,0,0,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS,Geniego,PASS
pages.marketingIntel.aiPredict.banner.emailSimulate,PAT_X,skip,1,15,0,0,이메일 시뮬레이션,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS,Email Simulate,PASS
pages.marketingIntel.aiPredict.banner.emailSubject,PAT_X,skip,1,15,0,0,이메일 제목,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS,Email Subject,PASS
pages.marketingIntel.aiPredict.banner.emailSubjectPh,PAT_X,skip,1,15,0,0,이메일 제목 입력,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS,Email Subject Ph,PASS
pages.marketingIntel.aiPredict.banner.emailTestSend,PAT_X,skip,1,15,0,0,이메일 테스트 발송,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS,Email Test Send,PASS
pages.marketingIntel.aiPredict.banner.execLog,PAT_X,skip,1,15,0,0,자동 실행 로그,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS,Auto Execution Log,PASS
pages.marketingIntel.aiPredict.banner.hours,PAT_B,translate,1,11,4,0,시간,PASS,Hours,P4,Time,PASS,Time,PASS,Time,PASS,Hours,P4,Hours,P4,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Time,PASS,Hours,P4
pages.marketingIntel.aiPredict.banner.kakaoAlimtalk,PAT_X,skip,1,15,0,0,카카오 알림톡,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS,Kakao Alimtalk,PASS
pages.marketingIntel.aiPredict.banner.kakaoFriendtalk,PAT_X,skip,1,15,0,0,카카오 친구톡,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS,Kakao Friendtalk,PASS
pages.marketingIntel.aiPredict.banner.kakaoMsgType,PAT_X,skip,1,15,0,0,카카오 메시지 유형,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS,Kakao Msg Type,PASS
pages.marketingIntel.aiPredict.banner.kakaoSendSim,PAT_X,skip,1,15,0,0,카카오 발송 시뮬레이션,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS,Kakao Send Sim,PASS
pages.marketingIntel.aiPredict.banner.kakaoTemplate,PAT_X,skip,1,15,0,0,카카오 템플릿,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS,Kakao Template,PASS
pages.marketingIntel.aiPredict.banner.kakaoTest,PAT_X,skip,1,15,0,0,카카오 테스트,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS,Kakao Test,PASS
pages.marketingIntel.aiPredict.banner.lineMsgType,PAT_X,skip,1,15,0,0,LINE 메시지 유형,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS,Line Msg Type,PASS
pages.marketingIntel.aiPredict.banner.lineSendSim,PAT_X,skip,1,15,0,0,LINE 발송 시뮬레이션,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS,Line Send Sim,PASS
pages.marketingIntel.aiPredict.banner.lineSimulate,PAT_X,skip,1,15,0,0,LINE 시뮬레이션,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS,Line Simulate,PASS
pages.marketingIntel.aiPredict.banner.lineTemplate,PAT_X,skip,1,15,0,0,LINE 템플릿,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS,Line Template,PASS
pages.marketingIntel.aiPredict.banner.lineTestSend,PAT_X,skip,1,15,0,0,LINE 테스트 발송,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS,Line Test Send,PASS
pages.marketingIntel.aiPredict.banner.minutes,PAT_X,translate,0,1,14,0,분,P5,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,Minutes,P4,遺?,PASS
pages.marketingIntel.aiPredict.banner.mktBudgetAction,PAT_X,skip,1,15,0,0,마케팅 예산 액션,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS,Mkt Budget Action,PASS
pages.marketingIntel.aiPredict.banner.mktHighRoas,PAT_X,skip,1,15,0,0,고 ROAS 마케팅,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS,Mkt High Roas,PASS
pages.marketingIntel.aiPredict.banner.mktHighRoasSub,PAT_X,skip,1,15,0,0,고 ROAS 마케팅 안내,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS,Mkt High Roas Sub,PASS
pages.marketingIntel.aiPredict.banner.mktHubAction,PAT_X,skip,1,15,0,0,마케팅 허브 액션,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS,Mkt Hub Action,PASS
pages.marketingIntel.aiPredict.banner.mktLowRoas,PAT_X,skip,1,15,0,0,저 ROAS 마케팅,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS,Mkt Low Roas,PASS
